Permalink,Post Message,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment
https://www.facebook.com/underthebutton/posts/10154839325180855,I guess that's what Snapchat filters are for.,11/19/17 8:00,804,1442,12,0,1
https://www.facebook.com/underthebutton/posts/10154837107525855,Goddamit Daniel.,11/18/17 15:00,2418,4534,57,1,14
https://www.facebook.com/underthebutton/posts/10154837105665855,Finally - a practical application of computer science!,11/18/17 13:15,647,1211,8,0,3
https://www.facebook.com/underthebutton/posts/10154837103810855,For when &quot;Best Regards&quot; just doesn't do the trick.,11/18/17 11:30,1073,1908,3,0,0
https://www.facebook.com/underthebutton/posts/10154837102430855,Revolutionary statements coming from a true hero amongst men.,11/18/17 9:30,1271,2370,24,0,2
https://www.facebook.com/underthebutton/posts/10154837099800855,"Useful to know, before real course registration begins!",11/18/17 8:00,906,1621,12,0,1
https://www.facebook.com/underthebutton/posts/10154834978555855,We should all strive for the privilege to be this selfless.,11/17/17 17:45,811,1421,18,0,1
https://www.facebook.com/underthebutton/posts/10154834958660855,–Maybe Iêll go see a museum or two. Do we have any good museums?”,11/17/17 15:45,1420,2732,48,0,2
https://www.facebook.com/underthebutton/posts/10154835636545855,"In cases such as this, capital punishment may be justified.",11/17/17 14:32,4090,8153,101,1,38
https://www.facebook.com/underthebutton/posts/10154834966265855,He was named the Benjamin Franklin Presidential Practice Professor a month after I applied. Coincidence?,11/17/17 13:15,775,1425,5,0,0
https://www.facebook.com/underthebutton/posts/10154834916400855,"Three hours of Facebook, one hours of Instagram, half a physics problem, repeat.",11/17/17 10:45,1444,2826,33,0,7
https://www.facebook.com/underthebutton/posts/10154833874285855,The real reason Penn is building New College House West.,11/17/17 9:30,1320,2386,23,0,3
https://www.facebook.com/underthebutton/posts/10154833872420855,"Inspiring work, Natalia. Youêre an icon to us all.",11/17/17 8:15,2011,3771,22,0,11
https://www.facebook.com/underthebutton/posts/10154832798960855,"He claims he's been smoking –for, like, a long time, bro.”",11/17/17 7:00,303,508,2,0,0
https://www.facebook.com/underthebutton/posts/10154833232210855,&quot;That&quot; guy.,11/16/17 15:33,1586,2672,3,1,0
https://www.facebook.com/underthebutton/posts/10154832749270855,"Ha! That's right, it's cold out now. Take that, haters!",11/16/17 14:09,988,1938,20,1,0
https://www.facebook.com/underthebutton/posts/10154832466710855,"&quot;I am a feminist and very cool and nice as well. I have a mother you know, and I personally know people with daughters. Being related to women positions me to care about their existence.&quot;",11/16/17 13:15,7954,16671,192,10,29
https://www.facebook.com/underthebutton/posts/10154832448760855,"&quot;He proceeded to spend it installing a hammock in his room, watching Rick and Morty reruns and finally taking a shower.&quot;",11/16/17 12:00,840,1535,10,0,0
https://www.facebook.com/underthebutton/posts/10154832415190855,"&quot;Large heads, long necks, and flexible limbs tended to be characteristic of good cuddlers, while spines or armor would dissuade certain species.&quot;",11/16/17 10:45,504,940,8,0,0
https://www.facebook.com/underthebutton/posts/10154832402075855,"Weird, or just convenient?",11/16/17 9:30,1707,3264,13,0,7
https://www.facebook.com/underthebutton/posts/10154831563650855,Didn't see this one coming!,11/16/17 8:15,1374,2483,39,0,2
https://www.facebook.com/underthebutton/posts/10154831558150855,Wasted potential.,11/16/17 7:00,160,295,2,0,0
https://www.facebook.com/underthebutton/posts/10154830510760855,"ICYMI: Everybody Poops, even John Legend",11/15/17 18:45,171,268,2,0,0
https://www.facebook.com/underthebutton/posts/10154830919410855,&quot;You gotta focus on things that actually have an impact.&quot;,11/15/17 16:00,2484,5134,43,3,6
https://www.facebook.com/underthebutton/posts/10154830505700855,Hired!,11/15/17 14:45,419,793,11,0,0
https://www.facebook.com/underthebutton/posts/10154830496710855,Goofy girl!,11/15/17 13:30,492,904,8,0,0
https://www.facebook.com/underthebutton/posts/10154830437575855,The More You Know...,11/15/17 11:10,3948,7756,46,0,35
https://www.facebook.com/underthebutton/posts/10154830102585855,What a feat!,11/15/17 9:45,2006,3986,49,1,7
https://www.facebook.com/underthebutton/posts/10154830063345855,Seems fishy.,11/15/17 8:41,627,1136,3,0,0
https://www.facebook.com/underthebutton/posts/10154826907165855,&quot;Meyers consistently sets off the smoke detector while boiling water for pasta.&quot;,11/14/17 19:00,2319,4400,35,1,9
https://www.facebook.com/underthebutton/posts/10154827828310855,"&quot;Itês so unfair that the administration expects us to share a shower with a bunch of strangers! Like, no other university does this.&quot;",11/14/17 18:00,597,947,8,0,0
https://www.facebook.com/underthebutton/posts/10154826896115855,"–If my mom stopped monitoring my Facebook in ninth grade, why should the marketing director of the Wharton West Philadelphia Technology Initiative get to monitor my profile when Iêm a senior in college?”",11/14/17 16:30,1312,2448,17,1,1
https://www.facebook.com/underthebutton/posts/10154826895085855,–I strongly considered dropping out of college.&quot;,11/14/17 14:45,5733,11861,244,2,73
https://www.facebook.com/underthebutton/posts/10154826893565855,We were all rooting for them.,11/14/17 13:00,706,1256,9,0,0
https://www.facebook.com/underthebutton/posts/10154826890995855,$4.87 is a ripoff.,11/14/17 11:30,1784,3028,61,0,3
https://www.facebook.com/underthebutton/posts/10154826886005855,My horoscope told me that this is gonna be a great class.,11/14/17 10:00,781,1393,9,0,3
https://www.facebook.com/underthebutton/posts/10154826882960855,"–Pennês Code of Academic Integrity does not have a provision regarding portable two-way radios, so I figured it was fair game.”",11/14/17 8:30,242,427,3,0,0
https://www.facebook.com/underthebutton/posts/10154826903300855,"Ugh, fine Dan, we're leaving.",11/14/17 7:00,2954,5838,54,0,27
https://www.facebook.com/underthebutton/posts/10154824752665855,"Bummer, but you probably weren't going to make it anyway.",11/13/17 17:30,369,634,7,0,0
https://www.facebook.com/underthebutton/posts/10154826259280855,"Ah, the phone wallet... a really efficient way to carry everything that matters to you, and also to lose all of it at once.",11/13/17 15:28,8414,16303,157,4,56
https://www.facebook.com/underthebutton/posts/10154824741790855,It was only a matter of time.,11/13/17 13:30,2325,4455,50,0,5
https://www.facebook.com/underthebutton/posts/10154824727580855,"By the time her last class ends at 6 p.m., Greene has imbibed 128 fluid ouncesãone full gallonãof water.",11/13/17 11:30,5003,9751,69,3,36
https://www.facebook.com/underthebutton/posts/10154824728760855,Who could have seen this coming?,11/13/17 9:30,1129,2018,9,0,1
https://www.facebook.com/underthebutton/posts/10154825200690855,This is a MAJOR slip up.,11/13/17 7:30,229,446,5,0,0
https://www.facebook.com/underthebutton/posts/10154823727170855,"Get with it, you uncultured swines.",11/12/17 17:30,3941,7741,36,0,30
https://www.facebook.com/underthebutton/posts/10154823721420855,Registering for five courses you need and only getting &quot;Hellenic Artistic Methods in the 4th Century BCE&quot; instead &gt;&gt;&gt;,11/12/17 12:25,906,1527,7,0,0
https://www.facebook.com/underthebutton/posts/10154823417745855,"Perelmans: &quot;a scarce resource, but a renewable one.&quot;",11/12/17 11:00,4227,8055,183,4,10
https://www.facebook.com/underthebutton/posts/10154823086210855,Rooting for the Eagles is just what Philly natives like me do.,11/12/17 9:30,597,1023,7,0,0
https://www.facebook.com/underthebutton/posts/10154823094380855,"We need this, not another Starbucks.",11/12/17 8:00,3907,7286,27,0,24
https://www.facebook.com/underthebutton/posts/10154822014405855,Don't forget to exchange your swipes for like 20% of what they're actually worth!,11/11/17 17:13,223,343,4,0,0
https://www.facebook.com/underthebutton/posts/10154821644660855,All he needs is a coder to deal with the &quot;technical side&quot; of the startup.,11/11/17 15:00,2158,4016,26,2,6
https://www.facebook.com/underthebutton/posts/10154821145300855,Now this is an offer Bezos won't be able to turn down.,11/11/17 13:15,2984,5595,98,0,12
https://www.facebook.com/underthebutton/posts/10154820917150855,Fuck grapes.,11/11/17 11:30,1301,2473,12,0,11
https://www.facebook.com/underthebutton/posts/10154820910935855,"Carr is a self-described –avid drug doer,” who –lights up all the time&quot;.",11/11/17 9:30,1698,3130,20,1,6
https://www.facebook.com/underthebutton/posts/10154820848805855,She reports she has 10 hours of class each day and –hasnêt slept since Tuesday.”,11/11/17 8:02,415,714,6,0,0
https://www.facebook.com/underthebutton/posts/10154816831425855,Tag someone who eats books.,11/10/17 14:30,333,634,5,0,1
https://www.facebook.com/underthebutton/posts/10154817584070855,Early reports say the renovation cost $80 million.,11/10/17 10:45,2149,4494,93,1,2
https://www.facebook.com/underthebutton/posts/10154818333795855,"Enjoy your Wonder bread, losers.",11/10/17 9:30,1860,3731,107,0,3
https://www.facebook.com/underthebutton/posts/10154818329500855,Sometimes you just don't care.,11/10/17 8:15,1203,2523,19,1,2
https://www.facebook.com/underthebutton/posts/10154816809100855,"Odds are he's imagined making out with you, too.",11/10/17 7:00,329,555,7,0,0
https://www.facebook.com/underthebutton/posts/10154817395085855,This'll be on his resume.,11/9/17 18:08,650,1175,7,0,1
https://www.facebook.com/underthebutton/posts/10154817208585855,"Another week, another bathroom review.",11/9/17 16:17,547,1090,3,0,0
https://www.facebook.com/underthebutton/posts/10154816914425855,Who will be tagged first?,11/9/17 14:30,1131,2151,4,0,7
https://www.facebook.com/underthebutton/posts/10154816898020855,A man who knows what he wants.,11/9/17 13:20,550,1016,2,0,0
https://www.facebook.com/underthebutton/posts/10154816177950855,Far too hopeful.,11/9/17 12:00,807,1435,4,0,0
https://www.facebook.com/underthebutton/posts/10154815414170855,Not out of the question.,11/9/17 10:45,1175,2324,23,2,2
https://www.facebook.com/underthebutton/posts/10154815413210855,"&quot;When I learned that their in-office superday would coincide with the 40th week of your motherês pregnancy, I knew I would be forced to make a difficult decision. But thatês what we do at Bain: we provide the tools you need to make the tough calls.&quot;",11/9/17 9:30,3504,7011,111,0,13
https://www.facebook.com/underthebutton/posts/10154815411575855,Changing the world!,11/9/17 8:15,390,732,10,0,0
https://www.facebook.com/underthebutton/posts/10154815409225855,"Leave Sarah alone, okay?",11/9/17 7:01,1221,2191,7,0,0
https://www.facebook.com/underthebutton/posts/10154814433380855,&quot;He has been known to shout 'I was there!' about situations in which his presence is considered highly unlikely&quot;,11/8/17 18:15,696,1355,9,0,1
https://www.facebook.com/underthebutton/posts/10154814405520855,This student found out the LGBT Center has free printing. What she didn't know is that you do not have to identify with that community to print there.,11/8/17 16:45,3206,6144,80,2,11
https://www.facebook.com/underthebutton/posts/10154814417945855,Inspiring!,11/8/17 15:30,638,1157,5,0,0
https://www.facebook.com/underthebutton/posts/10154814364225855,RIP mock schedules,11/8/17 13:00,1301,2576,33,1,4
https://www.facebook.com/underthebutton/posts/10154814336375855,&quot;We need to stand up to this nonsense.&quot;,11/8/17 11:45,403,715,7,0,0
https://www.facebook.com/underthebutton/posts/10154814251860855,"&quot;I believe in free market solutions, equal marriage rights for members of the LGBTQ community, and that there are eight canonical bagel flavors.&quot;",11/8/17 10:30,2580,5196,54,3,10
https://www.facebook.com/underthebutton/posts/10154814114370855,Impressive.,11/8/17 9:15,709,1332,3,0,5
https://www.facebook.com/underthebutton/posts/10154814060695855,&quot;You put that secret of yours into a tiny box called Trust and gave it to me with the key attached&quot;,11/8/17 8:16,772,1438,4,0,0
https://www.facebook.com/underthebutton/posts/10154810343175855,He reportedly makes $35 per hour.,11/7/17 19:00,1615,3162,34,0,19
https://www.facebook.com/underthebutton/posts/10154811537695855,&quot;2. Best Stressed (not to be confused with 'Best Dressed') - Everyone loves to complain about how much work they have. Who does it the best?&quot;,11/7/17 17:00,2038,3755,10,0,4
https://www.facebook.com/underthebutton/posts/10154811534870855,&quot;Wow! Talk about a kid whose parents raised them right.&quot;,11/7/17 15:00,3642,7300,101,1,11
https://www.facebook.com/underthebutton/posts/10154811540020855,"It looks like some students got up to some Profanity, Reckless Abandonment, and Littering post-Mischief night.",11/7/17 13:00,420,706,1,0,0
https://www.facebook.com/underthebutton/posts/10154811542105855,&quot;Maybe it's coming from outside? The windows are usually open in here.&quot;,11/7/17 11:30,595,1090,11,1,0
https://www.facebook.com/underthebutton/posts/10154811544220855,"&quot;Bring your giant signs, and Iêm talking like 100 sqft minimum, to Locust Walk, and we will block the sun. If we are such sinners, then God or whatever shouldnêt see us anyway.&quot;",11/7/17 10:00,1071,2037,19,1,3
https://www.facebook.com/underthebutton/posts/10154811548845855,"Hurrah, hurrah ______",11/7/17 8:00,5553,10594,122,1,25
https://www.facebook.com/underthebutton/posts/10154810318030855,"Hey, do you happen to know any courses that satisfy the Physical World sector but are also really easy?",11/7/17 7:00,397,655,0,0,0
https://www.facebook.com/underthebutton/posts/10154810533200855,Caught red-handed.,11/6/17 18:30,247,425,3,0,0
https://www.facebook.com/underthebutton/posts/10154810408160855,Finally some science that isn't boring.,11/6/17 16:30,2085,4052,28,0,12
https://www.facebook.com/underthebutton/posts/10154809007150855,"&quot;I had no desire to watch a sweaty, passionate sex scene during a grand epic about humanityês darkest hour.&quot;",11/6/17 13:45,2761,5701,37,2,0
https://www.facebook.com/underthebutton/posts/10154809010365855,"&quot;New College House&quot; and &quot;New College House West&quot; don't seem so weird now, all things considered.",11/6/17 12:00,3434,6978,150,2,2
https://www.facebook.com/underthebutton/posts/10154809005460855,&quot;Abrams even slept on the couch of her former college residency for the weekend.&quot;,11/6/17 10:15,2634,5239,55,0,5
https://www.facebook.com/underthebutton/posts/10154809002325855,Close call.,11/6/17 8:30,1438,2693,37,0,1
https://www.facebook.com/underthebutton/posts/10154809039730855,Really interesting stuff from Penn's most underrated department.,11/6/17 7:00,743,1288,10,1,2
https://www.facebook.com/underthebutton/posts/10154807988035855,"We hope the students are having an exciting, fulfilling semester. Roughly 69.75 years to go.",11/5/17 19:00,1193,2218,20,0,0
https://www.facebook.com/underthebutton/posts/10154807961215855,The more festive but less convenient pumpkin spice latte.,11/5/17 13:15,1430,2620,11,1,7
https://www.facebook.com/underthebutton/posts/10154807509400855,I guess he got half of the joke.,11/5/17 12:00,1539,2837,8,0,5
https://www.facebook.com/underthebutton/posts/10154807319975855,Rule #1 of making mock schedules: disregard all requirements for the aesthetics.,11/5/17 10:45,2693,4992,49,0,11
https://www.facebook.com/underthebutton/posts/10154807228395855,"Tostitos, Doritos, and Fritos! Oh my!",11/5/17 9:30,252,456,0,0,0
https://www.facebook.com/underthebutton/posts/10154807232625855,"Greetings, peasants of the past.",11/5/17 8:00,1155,2116,28,0,0
https://www.facebook.com/underthebutton/posts/10154805605720855,Hypocrisy at its finest.,11/4/17 16:00,2447,4726,54,0,11
https://www.facebook.com/underthebutton/posts/10154805594775855,It's about time they got the recognition they deserved.,11/4/17 14:45,5713,11360,162,1,49
https://www.facebook.com/underthebutton/posts/10154805593560855,Looks like someone doesn't have their priorities straight.,11/4/17 13:30,998,1809,9,0,0
https://www.facebook.com/underthebutton/posts/10154805345430855,It's tough to have the best of both worlds... It's even tougher to have none of either.,11/4/17 12:15,2715,5361,67,0,12
https://www.facebook.com/underthebutton/posts/10154805242000855,"–Iêd rather live on a mosquito farm than go to Penn,” she said.",11/4/17 11:00,6063,12097,109,2,51
https://www.facebook.com/underthebutton/posts/10154805189040855,We all know that one person...,11/4/17 9:30,1161,2157,8,0,2
https://www.facebook.com/underthebutton/posts/10154805032120855,The feature we've all been waiting for...,11/4/17 8:00,2587,5151,87,1,4
https://www.facebook.com/underthebutton/posts/10154802778890855,Don't forget the rest of us!,11/3/17 16:30,638,1230,1,0,0
https://www.facebook.com/underthebutton/posts/10154803690510855,"Long-overdue information, really.",11/3/17 15:00,1718,3241,23,1,9
https://www.facebook.com/underthebutton/posts/10154803076860855,Sources close to Joe describe this affinity as an &quot;insatiable appetite&quot; that &quot;knows no bounds.&quot;,11/3/17 14:00,613,1144,3,1,0
https://www.facebook.com/underthebutton/posts/10154802118595855,"Win for equality, loss for general sense of comfort.",11/3/17 13:00,731,1442,9,0,0
https://www.facebook.com/underthebutton/posts/10154802805480855,We've all been there.,11/3/17 12:00,2556,5080,73,0,10
https://www.facebook.com/underthebutton/posts/10154802765180855,Tag someone who can't find the clitoris.,11/3/17 11:00,3001,6157,109,2,29
https://www.facebook.com/underthebutton/posts/10154802111885855,"–If everyone in the world loved each other, there would be no war. It would be so sick.”",11/3/17 10:00,3601,7443,89,2,13
https://www.facebook.com/underthebutton/posts/10154802119975855,Don't waste water: stay seated.,11/3/17 9:00,509,895,6,0,0
https://www.facebook.com/underthebutton/posts/10154802110165855,Better for you than exercise or kale.,11/3/17 8:00,595,1105,6,0,0
https://www.facebook.com/underthebutton/posts/10154801829305855,Always ask for proof of PennCard.,11/3/17 7:00,391,649,0,0,0
https://www.facebook.com/underthebutton/posts/10154801211210855,The class was &quot;STSC346: The Ethics of Maize.&quot;,11/2/17 13:00,1225,2452,20,1,7
https://www.facebook.com/underthebutton/posts/10154800923515855,Has Annenberg failed us?,11/2/17 13:00,254,454,8,0,0
https://www.facebook.com/underthebutton/posts/10154800904590855,"&quot;Balthazar will peer through your eyes, searching for loose pieces of your soul to slurp up through the straw that is built into his elbow.&quot;",11/2/17 12:00,1148,2143,6,0,0
https://www.facebook.com/underthebutton/posts/10154800704960855,"Not cool, Penn.",11/2/17 11:00,2011,3882,63,2,2
https://www.facebook.com/underthebutton/posts/10154800656695855,Rookie mistake.,11/2/17 10:00,2480,4999,21,0,15
https://www.facebook.com/underthebutton/posts/10154799860080855,All that wait for nothing.,11/2/17 9:00,2258,4704,25,0,13
https://www.facebook.com/underthebutton/posts/10154799861265855,Now that's innovative.,11/2/17 8:00,703,1255,4,1,0
https://www.facebook.com/underthebutton/posts/10154799858755855,Drastic measures.,11/2/17 7:00,371,622,10,0,0
https://www.facebook.com/underthebutton/posts/10154799107720855,Enchanting!,11/1/17 18:00,2577,4692,20,1,1
https://www.facebook.com/underthebutton/posts/10154799065930855,"#5 is really nice, but not nice enough to make you stay after you've snapped a pic.",11/1/17 15:30,1152,2081,12,1,1
https://www.facebook.com/underthebutton/posts/10154798987450855,"&quot;This club is really about like-minded, beautiful rich people gathering together in one place as equals. Except I'm there, too.”",11/1/17 14:20,2190,4480,34,1,3
https://www.facebook.com/underthebutton/posts/10154798574485855,&quot;Neat-o!&quot;,11/1/17 13:00,2310,4376,18,2,7
https://www.facebook.com/underthebutton/posts/10154798068900855,Inspiring!,11/1/17 11:45,4299,8953,58,1,32
https://www.facebook.com/underthebutton/posts/10154798060635855,"Kathy Lee, 68, from Park Rock, Georgia has a lot to say.",11/1/17 10:30,2093,3995,39,2,0
https://www.facebook.com/underthebutton/posts/10154798053575855,"&quot;Pedestrians are advised to plan alternative routes and avoid boomboxes, pep, and punny names at all costs.&quot;",11/1/17 8:00,470,844,6,0,0
https://www.facebook.com/underthebutton/posts/10154798041865855,"ED applicants, we salute you.",11/1/17 6:30,3630,7701,24,0,6
https://www.facebook.com/underthebutton/posts/10154794970390855,When your phone has no storage and you gotta delete those Math 104 notes from your photos __,10/31/17 19:00,810,1411,9,0,0
https://www.facebook.com/underthebutton/posts/10154796304400855,"&quot;The brother looked petrified, let us all in, and our university-approved bartender made us some sweet mixed drinks right away.&quot;",10/31/17 16:00,1093,1901,0,0,0
https://www.facebook.com/underthebutton/posts/10154794981720855,"&quot;For the first month of class, I thought this guy was a genius.&quot;",10/31/17 14:00,4259,8584,111,1,21
https://www.facebook.com/underthebutton/posts/10154794980180855,&quot;Thank goodness I finally have a place to study. I almost went into VP last week.&quot;,10/31/17 13:00,3764,7376,89,2,20
https://www.facebook.com/underthebutton/posts/10154794978480855,Where's the Caramel Macchiato flavor at tho...,10/31/17 12:00,1880,3646,21,0,14
https://www.facebook.com/underthebutton/posts/10154794984215855,"&quot;Your sexy cat costume trivializes our unending, ceaseless desire to hook up with a sexy cat.&quot;",10/31/17 11:00,2803,5419,49,2,8
https://www.facebook.com/underthebutton/posts/10154794982360855,"Going for only $49.99, they are literally the only signifier that you love your child.",10/31/17 9:00,1711,3256,13,0,5
https://www.facebook.com/underthebutton/posts/10154794976825855,Itês time to move on.,10/31/17 8:00,1122,1951,7,0,0
https://www.facebook.com/underthebutton/posts/10154794960385855,"If you're thinking about applying to Penn, here's how to get in!!!",10/31/17 7:00,2011,3869,30,1,13
https://www.facebook.com/underthebutton/posts/10154794458695855,Processing all these returns is going to be a real chore for Amazon@Penn.,10/30/17 18:36,878,1468,7,0,0
https://www.facebook.com/underthebutton/posts/10154794244175855,You've heard of the spicy noodle challenge...,10/30/17 16:30,2041,3869,25,3,2
https://www.facebook.com/underthebutton/posts/10154793796970855,The deadline for early decision applicants is only a few days away. Use this supplement to save some time!,10/30/17 15:00,2077,3809,18,0,9
https://www.facebook.com/underthebutton/posts/10154792157930855,What a deal!,10/29/17 19:00,679,1232,8,0,0
https://www.facebook.com/underthebutton/posts/10154792140485855,"Addictive behaviors are toxic. Proud of you, Sophia.",10/29/17 17:00,1784,3420,18,0,7
https://www.facebook.com/underthebutton/posts/10154791785925855,&quot;The presentationãwhich Lee insisted we call a 'deck'ãwas pretty fascinating and had some sick transitions.&quot;,10/29/17 15:45,2875,5299,30,0,9
https://www.facebook.com/underthebutton/posts/10154791350120855,"Hey, sis! What's the haps? Mind if I join the squad for the night?",10/29/17 14:30,1150,1970,3,0,0
https://www.facebook.com/underthebutton/posts/10154791280545855,Probably better that they censor this stuff.,10/29/17 13:15,2559,4870,25,0,4
https://www.facebook.com/underthebutton/posts/10154791269025855,"We're here to learn, not to make long-lasting, emotion-inducing friendships.",10/29/17 12:00,1890,3724,32,1,8
https://www.facebook.com/underthebutton/posts/10154791239550855,&quot;Gross decided to abandon her current religion and convert immediately after receiving her mini New Testament copy because it is just so darn cute.&quot;,10/29/17 10:45,696,1214,9,0,0
https://www.facebook.com/underthebutton/posts/10154791218115855,"–But the fact that my visiting friend from high school gets off scot free? Thatês just unfair. I mean, Iêm a paying customer over here.&quot;",10/29/17 9:30,1493,2621,12,1,1
https://www.facebook.com/underthebutton/posts/10154791142100855,'Tis the season. Again.,10/29/17 8:00,896,1642,6,0,0
https://www.facebook.com/underthebutton/posts/10154789389655855,That's one way to sell out a performance.,10/28/17 11:45,662,1151,3,0,0
https://www.facebook.com/underthebutton/posts/10154789157840855,No one likes getting bullied... especially Amy Gutmann.,10/28/17 10:00,1892,3498,6,0,0
https://www.facebook.com/underthebutton/posts/10154789104220855,Reports also indicate that all her friends tagged her in the post's comments.,10/28/17 8:48,2437,4708,30,0,4
https://www.facebook.com/underthebutton/posts/10154788168670855,"Just in case you forgot, Trump was an Ivy League student",10/28/17 7:30,2127,4051,19,0,2
https://www.facebook.com/underthebutton/posts/10154785870360855,Be careful with whom you connect.,10/27/17 17:00,333,556,0,0,0
https://www.facebook.com/underthebutton/posts/10154787326425855,&quot;Is this Penn or is this daycare?&quot;,10/27/17 15:00,1890,3624,40,2,0
https://www.facebook.com/underthebutton/posts/10154787338000855,A Tinder date on Halloweekend... what could go wrong?,10/27/17 14:01,1835,3511,28,3,2
https://www.facebook.com/underthebutton/posts/10154785828510855,Tag a dumb person.,10/27/17 13:00,11663,23429,385,20,64
https://www.facebook.com/underthebutton/posts/10154785838380855,"&quot;I canêt see myself spending more than like an hour in Philly,” noted the President-to-be.",10/27/17 12:00,1803,3649,22,0,0
https://www.facebook.com/underthebutton/posts/10154786772505855,"Most likely, yes.",10/27/17 11:00,763,1388,5,0,0
https://www.facebook.com/underthebutton/posts/10154785816775855,"These ideas will contribute to a fantastic Halloween with the squad...and Jack, we guess.",10/27/17 10:00,1875,3728,21,2,1
